LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
534.0,6.180471538288009e-06,7.460329643097376e-08
535.0,6.2517224859735525e-06,7.621267294040922e-08
536.0,6.278089928134433e-06,7.507826189103239e-08
537.0,6.2541474947063294e-06,7.379533626834625e-08
538.0,6.228429674428121e-06,7.113952543293238e-08
539.0,6.191464660977225e-06,7.033489681062785e-08
540.0,6.14289531201392e-06,7.301224453168568e-08
541.0,6.14094721804822e-06,7.274986924820908e-08
542.0,6.191145136947485e-06,6.983513548587576e-08
543.0,6.241794792054512e-06,6.681483567646076e-08
544.0,6.281226846054191e-06,6.61070484634253e-08
545.0,6.305254498881256e-06,6.725465234291045e-08
546.0,6.302003534445994e-06,6.813442750227441e-08
547.0,6.278019180742985e-06,6.775304802490567e-08
548.0,6.2637759458362015e-06,6.814742466747554e-08
549.0,6.272358839611726e-06,6.812065086283574e-08
550.0,6.280288779638066e-06,6.798844924841436e-08
551.0,6.279448340014041e-06,6.891809524422041e-08
552.0,6.277423374241894e-06,6.86269084557046e-08
553.0,6.286361692669861e-06,6.916038540006644e-08
554.0,6.313279409270558e-06,7.139680058707625e-08
555.0,6.324173072524136e-06,6.934104202847064e-08
556.0,6.2905103893976045e-06,6.759670743428469e-08
557.0,6.228961224232145e-06,6.612454586209082e-08
558.0,6.170915143581687e-06,6.445588408469715e-08
559.0,6.144825249327037e-06,6.442126911685026e-08
560.0,6.172738618687648e-06,6.344480036685093e-08
561.0,6.229604689821182e-06,6.28143076930268e-08
562.0,6.272623383009704e-06,6.320371803398599e-08
563.0,6.294672847935793e-06,6.321713082202908e-08
564.0,6.296309572122796e-06,6.342657131987336e-08
565.0,6.276333858097066e-06,6.349235993888561e-08
566.0,6.265229836647604e-06,6.352492948585733e-08
567.0,6.2859120802580156e-06,6.355266610370445e-08
568.0,6.30091260865608e-06,6.345803412748164e-08
569.0,6.2828464156444165e-06,6.319750655542072e-08
570.0,6.253401957773363e-06,6.297929469994801e-08
571.0,6.25813358828506e-06,6.31550054748862e-08
572.0,6.3268167863309974e-06,6.389949558237024e-08
573.0,6.405511258391932e-06,6.438871962663002e-08
574.0,6.426595783798221e-06,6.442755303432076e-08
575.0,6.4017359908216986e-06,6.389308137017607e-08
576.0,6.375919271086762e-06,6.3459415355743e-08
577.0,6.359512743230024e-06,6.315576025774854e-08
578.0,6.3351536384402865e-06,6.253772985924029e-08
579.0,6.324193810141433e-06,6.222628331643596e-08
580.0,6.342764138279619e-06,6.280464039368975e-08
581.0,6.378909918328577e-06,6.263166819168234e-08
582.0,6.414449630446856e-06,6.262180442639361e-08
583.0,6.429630824581886e-06,6.268375095484191e-08
584.0,6.411256528684081e-06,6.309327700495287e-08
585.0,6.366979625581118e-06,6.22428297712825e-08
586.0,6.334196647065346e-06,6.144538966219453e-08
587.0,6.3102614362571955e-06,6.135659443979447e-08
588.0,6.234307439495694e-06,6.06578269661345e-08
589.0,6.129918840891009e-06,5.98734601939416e-08
590.0,6.1315475886438635e-06,6.024930324883317e-08
591.0,6.238922346510474e-06,6.112438205282777e-08
592.0,6.325195250486874e-06,6.152952640868197e-08
593.0,6.353411657650594e-06,6.183251393948448e-08
594.0,6.3586251898369145e-06,6.157190326746122e-08
595.0,6.3621522465611e-06,6.213720584495018e-08
596.0,6.368292426069204e-06,6.21973475680182e-08
597.0,6.362573942601604e-06,6.156990830268038e-08
598.0,6.339482640569485e-06,6.082934814586928e-08
599.0,6.313721356978953e-06,6.035521670312081e-08
600.0,6.28877895959935e-06,6.042034486934795e-08
601.0,6.260459856181308e-06,5.985285370966425e-08
602.0,6.259324015355866e-06,5.96789987228295e-08
603.0,6.30239206153145e-06,5.998204108983281e-08
604.0,6.353167222658549e-06,6.041899218433609e-08
605.0,6.37465985838916e-06,6.08045357520919e-08
606.0,6.36705511289914e-06,6.049054016864905e-08
607.0,6.3469104660224335e-06,6.0072827611262e-08
608.0,6.314997069780424e-06,5.982939030891538e-08
609.0,6.278395968425594e-06,5.952154491978539e-08
610.0,6.249831680102193e-06,5.9101905696133473e-08
611.0,6.232148629014471e-06,5.883370423226522e-08
612.0,6.208577590368886e-06,5.934073122677847e-08
613.0,6.176194085716215e-06,5.861424076178229e-08
614.0,6.1441825249068e-06,5.829525129278946e-08
615.0,6.108206588532263e-06,5.788503314883114e-08
616.0,6.069961947165791e-06,5.745886622690128e-08
617.0,6.069820899546852e-06,5.7541755187652425e-08
618.0,6.121933586134197e-06,5.797954848066968e-08
619.0,6.178854826678136e-06,5.859403881325294e-08
620.0,6.2047033848219e-06,5.882463009277098e-08
621.0,6.196773308923945e-06,5.90401793175845e-08
622.0,6.160386984943924e-06,5.808276670077649e-08
623.0,6.116058826568693e-06,5.762695130324955e-08
624.0,6.0753614064298085e-06,5.775846599410713e-08
625.0,6.059212463780338e-06,5.8333541872268256e-08
626.0,6.089101695948282e-06,5.7855985290769626e-08
627.0,6.146624881710207e-06,5.7928882327350326e-08
628.0,6.1823630205722914e-06,5.8646255223141466e-08
629.0,6.176078529723818e-06,5.983498780073775e-08
630.0,6.146933599314086e-06,5.913504543930539e-08
631.0,6.116268261519376e-06,5.822511598983885e-08
632.0,6.101488679332586e-06,5.817958228143423e-08
633.0,6.102080874966878e-06,5.8762287625211525e-08
634.0,6.105524749929569e-06,5.9530275080623735e-08
635.0,6.109972237071086e-06,5.9054110992120906e-08
636.0,6.1166809340698005e-06,5.866955634205296e-08
637.0,6.128741602897671e-06,5.980194464141394e-08
638.0,6.135956264323685e-06,5.9367958739554617e-08
639.0,6.107737942145575e-06,5.884875217746453e-08
