Date	21-01-20
Spectrometer	QEB1691
Lamp SN	F1402-5
Int. Time(usec)	750000
Average	0
	0
Fiber (micron)	 3900 
	
[uJoule/count]
384.35410	7.3677071E-05
385.14660	7.3086040E-05
385.93910	7.2535193E-05
386.73150	7.1980204E-05
387.52380	7.1398489E-05
388.31610	7.0806923E-05
389.10830	7.0197603E-05
389.90040	6.9570740E-05
390.69250	6.8984112E-05
391.48450	6.8375927E-05
392.27640	6.7755087E-05
393.06830	6.7126744E-05
393.86010	6.6485916E-05
394.65190	6.5835527E-05
395.44350	6.5198145E-05
396.23520	6.4570414E-05
397.02670	6.3917369E-05
397.81820	6.3258362E-05
398.60960	6.2599577E-05
399.40100	6.1918609E-05
400.19220	6.1237725E-05
400.98350	6.0599597E-05
401.77460	5.9936898E-05
402.56570	5.9288251E-05
403.35680	5.8626659E-05
404.14770	5.7961485E-05
404.93860	5.7297547E-05
405.72940	5.6681256E-05
406.52020	5.6068222E-05
407.31090	5.5448784E-05
408.10150	5.4835636E-05
408.89210	5.4216324E-05
409.68260	5.3595114E-05
410.47300	5.2997608E-05
411.26340	5.2411824E-05
412.05370	5.1829940E-05
412.84400	5.1255466E-05
413.63410	5.0687493E-05
414.42420	5.0134271E-05
415.21430	4.9600848E-05
416.00430	4.9086276E-05
416.79420	4.8581906E-05
417.58400	4.8087562E-05
418.37380	4.7603261E-05
419.16350	4.7130646E-05
419.95310	4.6675995E-05
420.74270	4.6259984E-05
421.53220	4.5843923E-05
422.32170	4.5435121E-05
423.11100	4.5036671E-05
423.90030	4.4645900E-05
424.68960	4.4268662E-05
425.47880	4.3906787E-05
426.26790	4.3558405E-05
427.05690	4.3216926E-05
427.84590	4.2879196E-05
428.63480	4.2541528E-05
429.42370	4.2197568E-05
430.21240	4.1870962E-05
431.00110	4.1564616E-05
431.78980	4.1258890E-05
432.57840	4.0950453E-05
433.36690	4.0642334E-05
434.15530	4.0334042E-05
434.94370	4.0023549E-05
435.73200	3.9730651E-05
436.52020	3.9443019E-05
437.30840	3.9162235E-05
438.09650	3.8889245E-05
438.88460	3.8616140E-05
439.67250	3.8352107E-05
